runparse.pl filename startdate enddate
startdate 19700000
enddate 21000000
19910611 | 0:40:29 |  10.0 | 4:02 |     |     |     ride1| mood,path behind equestrian park  
19910612 | 0:24:36 |   6.0 | 4:06 |     |     |     ride1| grandview through bush  
19910618 | 1:11:40 |  15.5 | 4:37 |     |     |     ride1| loop at home  
19910621 | 0:29:25 |   6.5 | 4:31 |     |     |     ride1| grandview through bush + 1 loop  
19910627 | 0:24:48 |   6.0 | 4:08 |     |     |     ride1| loop at home  
19910630 | 0:42:10 |  10.0 | 4:13 |     |     |     ride1| at home  
19910708 | 0:41:12 |   9.5 | 4:20 |     |     |     ride1| mood,path carling,park,loop,front  
19910709 | 0:29:58 |   7.0 | 4:16 |     |     |     ride1| grandview + 2 loops  
19910715 | 0:39:32 |   9.5 | 4:09 |     |     |     ride1| mood,path carling,park,loop,front  
19910716 | 0:28:22 |   6.5 | 4:21 |     |     |     ride1| grandview through bush + 1 loop  
19910718 | 0:26:16 |   6.0 | 4:22 |     |     |     ride1| grandview through bush  
19910719 | 0:21:46 |   5.0 | 4:21 |     |     |     ride1| grandview  
19910722 | 0:39:01 |   9.5 | 4:06 |     |     |     ride1| mood,path carling,park,loop,front  
19910723 | 0:25:33 |   5.0 | 5:06 |     |     |     ride1| intervals  6x.5k 1:37 pace + 2k  
19910725 | 0:24:01 |   6.0 | 4:00 |     |     |     ride1| loop at home  
19910729 | 0:29:31 |   7.0 | 4:13 |     |     |     ride1| grandview + 2 loops +  
19910731 | 0:24:31 |   6.0 | 4:05 |     |     |     ride1| loop at home  
19910801 | 0:37:17 |   8.5 | 4:23 |     |     |     ride1| moodie, path, carling, in side  
19910805 | 0:44:20 |  10.0 | 4:26 |     |     |     ride1| RACE - Sharbot Lake Triathlon  
19910813 | 0:44:40 |  11.0 | 4:03 |     |     |     ride1| loop at home  
19910814 | 0:46:57 |  11.0 | 4:16 |     |     |     ride1| loop at home  
19910819 | 0:28:28 |   7.0 | 4:04 |     |     |     ride1| grandview + 2 loops  
19910820 | 0:39:59 |  10.0 | 3:59 |     |     |     ride1| RACE - xerox 10k arboretum  
19910823 | 1:05:56 |  15.5 | 4:15 |     |     |     ride1| loop at home  
19910824 | 0:25:00 |   5.0 | 5:00 |     |     |     ride1| at cottage - hill 4 times  
19910827 | 0:28:08 |   6.5 | 4:19 |     |     |     ride1| grandview through bush + 1 loop  
19910903 | 0:39:11 |   9.5 | 4:07 |     |     |     ride1| mood,path carling,park,loop,front  
