----------------------------------------------------------------------------------------------------------------------
|1991       | Monday       | Tuesday      | Wednesday    | Thursday     | Friday       | Saturday     | Sunday       |
|DE 11 DE 17|started flood |hockey        |              |hockey        |              |              |              |
|           |              | back sore    |              |              |              |              |              |
|           |5 27:30       |              |              |              |              |              |              |
|---2017----|-----------------------------------------------------------|--------------|--------------|--------------|
|DE 18 DE 24|              |hockey        |              |hockey        |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |SS 4.1        |
|           |5 26:54       |5 25:27       |41:53 8.2     |              |13 FB         |              |              |
|---2017----|-----------------------------------------------------------|--------------|--------------|--------------|
|DE 25 DE 31|Shinny        |              |              |              |              |              |              |
|           |              |              |              |              |              |              |SS 3           |
|           |              |5 26:25       |              |              |              |              |5 26:01       |
|           |              |10 FB         |              |              |              |              |11 FB         |
|---2017----|-----------------------------------------------------------|--------------|--------------|--------------|


1991 Totals     Run - 2058   Bike - 1473  Swim - 117
1992 Totals     Run - 2509   Bike - 2656  Swim - 308.95
1993 Totals     Run - 1937   Bike - 2542  Swim - 256.8
1994 Totals     Run - 1477   Bike - 2255  Swim - 173.6
1995 Totals     Run - 1491   Bike - 2074  Swim - 214.4
1996 Totals     Run - 1832   Bike - 2353  Swim - 179.9
1997 Totals     Run - 2345   Bike - 2287  Swim - 41.6
1998 Totals     Run - 1773   Bike - 1701  Swim - 18.7
1999 Totals     Run - 1783   Bike - 1297  Swim - 14.1
2000 Totals     Run - 1761   Bike - 491   Swim - 1      Karate - 125
2001 Totals     Run - 1654   Bike - 2528  Swim - 27     Karate - 113
2002 Totals     Run - 1467   Bike - 870   Swim - 3      Karate - 102
2003 Totals     Run - 1656   Bike - 497   Swim - 0      Karate - 62
2004 Totals     Run -  922   Bike - 1533  Swim - 5
2005 Totals     Run - 1050   Bike - 2199  Swim - 92     XC - 1
2006 Totals     Run -  833   Bike - 799   Swim -        XC - 12
2007 Totals     Run - 1476   Bike - 613   Swim -        XC - 16
2008 Totals     Run - 1517   Bike - 395   Swim -        XC - 29
2009 Totals     Run - 1935   Bike - 504   Swim -0       XC - 28
2010 Totals     Run - 1451   Bike - 2839  Swim -2.6     XC - 21
2011 Totals     Run -  412   Bike - 3306  Swim -0       XC - 31
2012 Totals     Run - 1994   Bike - 976   Swim -0       XC - 20
2013 Totals     Run - 1692   Bike - 1021  Swim -0       XC - 14
2014 Totals     Run - 1230   Bike - 2497  Swim -0       XC - 8
2015 Totals     Run - 1417   Bike - 1961  Swim -0       XC - 15
2016 Totals     Run - 1531   Bike - 4323  Swim -0       XC - 10
2017 Totals     Run - 1208   Bike - 5502  Swim -4       XC - 10




|---2018----|--------------------------------------------------------------------------------------------------------|
|JA  1 JA  7|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|JA  8 JA 14|              | hockey       |              |hockey        |              |              |              |
|           |shinny        |              |              |              |              |              |              |
|           |              |SS 3.7        |              |              |              |              |              |
|           | 5 28:00      |  5 27:00     |5 26:40       |              |8.7 43        |  SS 5        |SJAM 18       |
|---2018----|--------------------------------------------------------------------------------------------------------|
|JA 15 JA 21|              |hockey        |              |hockey        |              |              |              |
|           |              |              |7.3 37:59     |              |              |              |              |
|           |              |10kbike       |XC 17         |FB            |              |              |9 47:38       |
|---2018----|--------------------------------------------------------------------------------------------------------|
|JA 22 JA 28|              |              |              |hockey        |Snowboard     |              |              |
|           |              |              |              |              |              |FB 17k        |              |
|           |              |              |              |FB broke DH   |              |XC 13         |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|JA 29 FE  4|              |hockey        |              |hockey        |              |              |              |
|           |              |              |              |6 31          |              |              |XC 18         |
|           |              |              |              |              |              |canal skate   | Shinny       |
|---2018----|--------------------------------------------------------------------------------------------------------|
|FE 5  FE 11|              |hockey        |              |              |              |              |              |
|           |              |9.6 50:44     |              |9.6 50:27     |8.7 45:31     |              |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|FE 12 FE 18|              |hockey        |              |hockey        |              |              |              |
|           |9.6           |              |10.1          |              |10.2 53:00    |              |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|FE 19 FE 25|              |hockey        |              |hockey        |              |              |              |
|           |10            |              |10 49:11      |5 28:20       |              |9.2 48        |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|FE 26 MA  4|              |hockey        |              |hockey        |              |kitchen       |              |
|           |              |              |              |              |              |              |              |
|           |8.8 47        | 31k b        |30k b         |30            |8.8k          |              |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|MA 5  MA 11|              |hockey        |              |hockey        |              |              |              |
|           |              |              | 10 FB        |              |              |snowshoe tremblant           |
|           |12.3 62:39    |5 26          |              |              |              | 12 k skate ski              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|MA 12 MA 18|              |hockey        |              |hockey        |              |              |              |
|           |8.8 43:34     |              |              |9.6  50:46    |              |XC 22         |10 52:00      |
|---2018----|--------------------------------------------------------------------------------------------------------|
|MA 19 MA 25|              |hockey        |              |hockey        |              |              |              |
|           |              |              |15 1:18:00    |5 26          |              |8 50          |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|MA 26 AP 1 |              |hockey        |              |hockey        |              |              |              |
|           |              |1.6 swim      |              |              |              |              |              |
|           |41:41 8.8     |5 26:00       |6 31:00       |30k with Mike |              |12 64:45      |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|AP 2  AP 8 |              |hockey        |              |hockey        |              |              |              |
|           |              |              |              |              |              |Snowboard     |              |
|           |9.6 50:55     |5 23:18       |              |              |              |              |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|AP 9  AP 15|              |hockey        |              |hockey        |              |              |              |
|           |              |2.0 swim      |              |              |              |              |              |
|           |10 53:00      |10.1 50:50    |6 31:30       |31 k bike     |              |10k 50:50     |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|AP 16 AP 22|              |hockey        |              |hockey        |              |              |              |
|           |              |10 54         |              |              |10 51         |15.3 82:44    |89k bike      |
|---2018----|--------------------------------------------------------------------------------------------------------|
|AP 23 AP 29|              |hockey        |              |last hockey   |              |              |              |
|           |BPPV assess   |              |              |              |              |              |              |
|           |              |31 with Mike  |9.2 44        |              |              |              |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|AP 30 MY 6 |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |5 23:19       |              |5 24:35       |              |13.5          |              |
|           |24.5 24.5     |24.5 26.5     |32            |              |              |              |96            |
|---2018----|--------------------------------------------------------------------------------------------------------|
|MY 7  MY 13|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |5 24:35       |              |24:27 5       |              |5.3 29:37     |              |16.3          |
|           |24.5 24.5     |24.5 24.5     |24.5 24.5     |              |              |111           |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|MY 14 MY 20|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |5 26:00       |              |5 25:25       |              |              |              |40            |
|           |26.3 26.3     |25.5 32       |25 25         |24.5 28.4     |96            |              |15 1:19:16    |
|---2018----|--------------------------------------------------------------------------------------------------------|
|MY 21 MY 27|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |5.1 29;42     |5 26:00       |              |108           |              |
|           |              | 24.5 28.5    |26.6 26       |24.5 26       |              |              |17 1:35       |
|---2018----|--------------------------------------------------------------------------------------------------------|
|MY 28 JN  3|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |5.6 26:10     |              |              |              |              |              |
|           |24.5 24.5     |24.5 24.5     |81            |24.5  26.5    |              |101           |18 1:45       |
|---2018----|--------------------------------------------------------------------------------------------------------|
|JN 4  JN 10|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |5             |5 25:08       |              |              |
|           |              |2.2k swim     |24.5 26       |24.5 25.5     |25.5 25.5     |18            |89            |
|---2018----|--------------------------------------------------------------------------------------------------------|
|JN 11 JN 17|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |10min swim    |
|           |2.2k swim     |              |              |              |              |10 54:00      |              |
|           |24.5 24.5     |8.5 42        |5 24:43       |              |16 40         |              |68            |
|---2018----|--------------------------------------------------------------------------------------------------------|
|JN 18 JN 24|very tired    |              |              |              |              || 5:20:29 Tremblant HI       |
|           |              |              |              |              |              ||35:14 1.9 2:41:46 90        |
|           |              |              |11min swim    |              |              ||      21.1 1:57:57  59/247  |
|           |5 25          |30k bike      |              |31k b         |5 24:42       ||  t1 3:45 t2 1:47   720/2627|
|---2018----|--------------------------------------------------------------------------------------------------------|
|JN 25 JL  1|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |9.2 46:56     |              |              |              |
|           |              |24.5 26.0     | 30           |              |25 25         |8 41:07       |66            |
|---2018----|--------------------------------------------------------------------------------------------------------|
|JL 2  JL  8|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |6 28:33       |              |
|           |6 30:40       |26 26         |25 25         |26 26         |24.5 24.5     |29            |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|JL 9  JL 15|              |              |              |              |              |              |brush cleanup |
|           |              |              |              |              |              |              |              |
|           |              |              |10 49:20      |              |              |              |              |
|           |24.5 17       |              |              |30.3          |              |              |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|JL 16 JL 22|              |              |              |              |Camping       |Camping       | Camping      |
|           |              |              |              |              |              |              |              |
|           |              |5 26:02       |5 24:40       |8 41:40       |              |              |              |
|           |24.5 24.5     |24.5 24.5     |24.5 26.5     |              |              |              |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|JL 23 JL 29| brew day     |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |30            |30            |              |              |
|           |9 46:00       |              |              |              |              |5 25:19       |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|JL 30 AU  5|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |56:23 9       |54:32 9.5     |              |47.5          |30.3          | 30           |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|AU 6  AU 12|              |              |              |              |              |              |              |
|           |              |              |              |              |12.6k hike    |              |              |
|           |              |              |              |              |              |              |              |
|           |              |12.5  1:05:16 |40:42 7.7     |48.9l b       |31            |              |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|AU 13 AU 19|              |  split wood  |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |25 25         |10.6          | 25 25        |25 25         |10.3 52:38    |              |8 38:55       |
|---2018----|--------------------------------------------------------------------------------------------------------|
|AU 20 AU 26|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |10 52:00      |              |
|           |45:44 8.2     |              |30 av36       |26 26         |24 26         |              |51            |
|---2018----|--------------------------------------------------------------------------------------------------------|
|AU 27 SE  2|              |              |              |physio        |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |8.8 43:00     |              |30 group      |25 25         |34.6 a33      |8k   42:20    |50            |
|---2018----|--------------------------------------------------------------------------------------------------------|
|SE 3  SE  9|              |hockey        |              |hockey        |              |Maine         |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |5 23:32       |5 25:45       |25 25         |5.3 34        |26 25         |              |7.5  41:32    |
|---2018----|--------------------------------------------------------------------------------------------------------|
|SE 10 SE 16|Maine---------------------------------------------------------------------->             |              |
|           |              |              |              |              |              |              |              |
|           |              |28.5          |              |              |              |              |              |
|           |37            |9.1 48:19     |              |38.6          |10.4 56:21    |              |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|SE 17 SE 23|              |hockey        |              |hockey        |              |              |              |
|           |              |              |              | physio       |              |33 bike       |              |
|           | 8.5 42:25    |5 26:12       |              |              |              |9 k run       |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|SE 24 SE 30|              |hockey        |              |hockey    b12 |              |closed pool   |              |
|           |              |              |              |physio        |              |              |              |
|           |6 hills       |              |6x .5 1:52    |              |              |              | 45           |
|---2018----|--------------------------------------------------------------------------------------------------------|
|OC 1  OC  7|b12           |hockey        |              |hockey    b12 |              |              |Shuffle       |
|           |              |              |              |physio        |              |              |              |
|           |              |              |              |              |              |              |              |
|           |9.2           |25:50 5       |              |              |              |              |21:21         |
|---2018----|--------------------------------------------------------------------------------------------------------|
|OC 8  OC 14|              |hockey        |              |hockey        |              |tent takedown |              |
|           |              |              |              |              |              |              |garage        |
|           |88            |              |              |              |              |              |              |
|           |b12           |              |32 Vince      |              |9.2           |              |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|OC 15 OC 21|              |hockey        |              |hockey        |lean-to prep  |              |yard work     |
|           |              |              |              |              |              |              |              |
|           | b12          |              |              |              |              |              |              |
|           |5             |5             |5.6           |              |              |8             |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|OC 22 OC 28|              |hockey        |              |hockey        |              |lean-to roof  |snow tires    |
|           |              | bad fall back|              |back neck     |              |back bad      |              |
|           |              |              |  flu shot    |              |              |              |              |
|           |5 25:00       | physio       |23k bike      |              |              |              |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|OC 29 NO  4|              |              |              |              |              |              |lean-to roof  |
|           |              |              |              |              |              |back bad      |              |
|           |              |              |              |              |              |              |              |
|           |5 26:26       |              |              |5 26:48       |              |5  26:44      |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|NO 5  NO 11|              |              |              |              |physio for back              |leanto        |
|           |              |              |              |              |              |boards, snow fence posts     |
|           |              |              |              |              |              |b12 shot      |              |
|           |5 28:26       |              |              |              |              |              |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|NO 12 NO 18|snow tires 4r |physio for back              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |5.6 31        |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|NO 19 NO 25|              |hockey        |              |hockey        |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |5 27:36       |    XC 19     |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|NO 26 DE 2 |              | hockey       |              | hockey       |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |8.8    48:05  |       XC 19  |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|DE 3  DE 9 |              |hockey        |              |hockey        |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |5 26:15       |              |
|           |5 26:30       |5 26:45       |12kbike       |5 27:00       | 14k bike     |19k bike      |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|DE 10 DE 16|              |hockey        |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |5k broken bike|              |              |              |9 49:00       |              |
|           |              |2k rach       |8.5 47:35     |8.5 47:37     |              |31k bike      |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|DE 17 DE 23|              |  hockey      |              |hockey        |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |9.5  50:31    |6 32:27       |5 26:01       |              |              |              | 9 47:18      |
|---2018----|--------------------------------------------------------------------------------------------------------|
|DE 24 DE 30|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |6.8    34:30  |              |              |              | 8.9 47:14    |              |
|---2018----|--------------------------------------------------------------------------------------------------------|
|DE 31      |              |
|           |              |
|           |              |
|           |xc 24         |
|---2018----|---------------


1991 Totals     Run - 2058   Bike - 1473  Swim - 117
1992 Totals     Run - 2509   Bike - 2656  Swim - 308.95
1993 Totals     Run - 1937   Bike - 2542  Swim - 256.8
1994 Totals     Run - 1477   Bike - 2255  Swim - 173.6
1995 Totals     Run - 1491   Bike - 2074  Swim - 214.4
1996 Totals     Run - 1832   Bike - 2353  Swim - 179.9
1997 Totals     Run - 2345   Bike - 2287  Swim - 41.6
1998 Totals     Run - 1773   Bike - 1701  Swim - 18.7
1999 Totals     Run - 1783   Bike - 1297  Swim - 14.1
2000 Totals     Run - 1761   Bike - 491   Swim - 1      Karate - 125
2001 Totals     Run - 1654   Bike - 2528  Swim - 27     Karate - 113
2002 Totals     Run - 1467   Bike - 870   Swim - 3      Karate - 102
2003 Totals     Run - 1656   Bike - 497   Swim - 0      Karate - 62
2004 Totals     Run -  922   Bike - 1533  Swim - 5
2005 Totals     Run - 1050   Bike - 2199  Swim - 92     XC - 1
2006 Totals     Run -  833   Bike - 799   Swim -        XC - 12
2007 Totals     Run - 1476   Bike - 613   Swim -        XC - 16
2008 Totals     Run - 1517   Bike - 395   Swim -        XC - 29
2009 Totals     Run - 1935   Bike - 504   Swim -0       XC - 28
2010 Totals     Run - 1451   Bike - 2839  Swim -2.6     XC - 21
2011 Totals     Run -  412   Bike - 3306  Swim -0       XC - 31
2012 Totals     Run - 1994   Bike - 976   Swim -0       XC - 20
2013 Totals     Run - 1692   Bike - 1021  Swim -0       XC - 14
2014 Totals     Run - 1230   Bike - 2497  Swim -0       XC - 8
2015 Totals     Run - 1417   Bike - 1961  Swim -0       XC - 15
2016 Totals     Run - 1531   Bike - 4323  Swim -0       XC - 10
2017 Totals     Run - 1208   Bike - 5502  Swim -4       XC - 10
2018 Totals     Run - 1107   Bike - 4340  Swim -10      XC - 7








|---2019----|              ------------------------------------------------------------------------------------------|
|JA 1  JA 6 |              |              |              |hockey        |              |              |              |
|           |              |              |              |              |14k XC        |              |              |
|           |              | xc 25        | 5 26:46      | 7 37:29      | 6 31:39      |8 42:02       |6 31:24       |
|---2019----|--------------------------------------------------------------------------------------------------------|
|JA 7  JA 13|              |hockey        |              |hockey        |              |              |              |
|           |              |              |              |              |              |18k bike      |Shinny        |
|           |5 26:10       |9.2 47        |8 43:30       |7 37:30       |6 32:30       |15 XC         |8 42:45       |
|---2019----|--------------------------------------------------------------------------------------------------------|
|JA 14 JA 20|              | hockey       |              |hockey        |              |              | painting     |
|           |              |              |              |shinny        |              |              |              |
|           |              |              |              |              |              |              |              |
|           |5 25:50       |              |17k bike      | 6 33:00      |17 k bike     |              |              |
|---2019----|--------------------------------------------------------------------------------------------------------|
|JA 21 JA 27|              |hockey        |              |hockey        |              |              |              |
|           |              |              |              |              |5 27:41       |              |12 bike       |
|           |              |              |              |              |snowshoe      |XC 19         |snowshoe      |
|---2019----|--------------------------------------------------------------------------------------------------------|
|JA 28 FE  3|              |hockey        |              |hockey        |              |              |              |
|           |5 26:00       |shinny        |hills 9.2     |shinny        |12k bike      |snowshoe      |xc 20         |
|---2019----|--------------------------------------------------------------------------------------------------------|
|FE 4  FE 10|              |hockey        |              |hockey        |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              | canal skate  |
|           |              |              |hills 9.5     | bike 16.7    |              |XC 24         |12  67:04     |
|---2019----|--------------------------------------------------------------------------------------------------------|
|FE 11 FE 17|              |hockey        |              |hockey        |              | XC 21        |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |10 54:29      |
|           |5 26:39       |              |              | hills 10     |              |shinny        |shinny        |
|---2019----|--------------------------------------------------------------------------------------------------------|
|FE 18 FE 24|              |hockey        |  back        | back         |              |              |              |
|           |              |              |              |              |              |              |              |
|           |canal skate   |              |              |              |              |              |              |
|           |shinny        |              |              |              |snowboard     |snowshoe      |snowshoe      |
|---2019----|--------------------------------------------------------------------------------------------------------|
|FE 25 MA 3 |              |hockey        |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |concussion    |FB 20         |              |
|           |              |              |hills 10.5    |              |snowboard     |snowshoe      |5 30:00       |
|---2019----|--------------------------------------------------------------------------------------------------------|
|MA 4  MA 10|              |hockey        |              |hockey        |              |              |              |
|           |              |hospital      |              |              |canal skate   |              |              |
|           |5  26:32      |              |hills 11.9    |              |13 1:08       |XC 25         |              |
|---2019----|--------------------------------------------------------------------------------------------------------|
|MA 11 MA 17|              |hockey        |              |hockey        |              |              |              |
|           |              |5 25:50       |hills 10.5    |              |10.1  52:00   |              |15 1:22       |
|---2019----|--------------------------------------------------------------------------------------------------------|
|MA 18 MA 24|              |hockey        |              |hockey        |              |              |              |
|           |5 24:50       |              |8x200 9.3     |              |              |              |15 1:22       |
|---2019----|--------------------------------------------------------------------------------------------------------|
|MA 25 MA 31|              |hockey        |              |      sick    |sick          | sick         |   sick       |
|           |              |              |              |              |5 27:30       |              |1:31:52 16.4  |
|---2019----|--------------------------------------------------------------------------------------------------------|
|AP 1  AP 7 |              |hockey        |              |hockey        |              |              |              |
|           |              |              |26:13 5       |27:10 5       |              |17 1:31:52    |              |
|---2019----|--------------------------------------------------------------------------------------------------------|
|AP 8  AP 14|              |hockey        |              |hockey        |              |              |              |
|           |              |              |              |30k           |              |              |              |
|           |              |              |8.8 45:37     |              | 5 23:45      |              |17.7  1:36:57 |
|---2019----|--------------------------------------------------------------------------------------------------------|
|AP 15 AP 21|              |hockey        |              |hockey        |              |back          |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |5 24:10       | 6 31:17      |25+25         | 24:37 5      |              |19  1:47:55   |              |
|---2019----|--------------------------------------------------------------------------------------------------------|
|AP 22 AP 28|              |back physio   |              |hockey        |back physio   |snowfence     |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |10.1 51:14    |              |9.6 47:30     |31k with Mike |              |              |13            |
|---2019----|--------------------------------------------------------------------------------------------------------|
|AP 29 MY 5 |              |last hockey   |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |26+26         |5 26:00       |5 25:50       |10.2  49:21   |5  24:43      |              |19.2 1:40:43  |
|---2019----|--------------------------------------------------------------------------------------------------------|
|MY 6  MY 12|              |              |              |              |              |opened pool   |              |
|           |              |5.6 28:56     |              |7.3 37:37     |5.4 28:07     |              |              |
|           |25+25         |25 25         |25 25         |              |              |              |18.3 1:46:41  |
|---2019----|--------------------------------------------------------------------------------------------------------|
|MY 13 MY 19|              |              |              |              |              |              |              |
|           |24:29 5       |              |8.5           |9.5           |              |14 1:51:00    |              |
|---2019----|--------------------------------------------------------------------------------------------------------|
|MY 20 MY 26|              |              |              |              |              |              |Ottawa 1/2    |
|           |6 31:30       |5 24:30       |              |5 25:25       |5 25:25       |              |21.4 1:45:50  |
|---2019----|--------------------------------------------------------------------------------------------------------|
|MY 27 JN 2 |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |5 25:30       |              |              |5 25:25       |              |              |
|           |25 25         |              |25 25         | 26 25        |26 26         |              |              |
|---2019----|--------------------------------------------------------------------------------------------------------|
|JN 3  JN 9 |              |              |              |              |              |              |tent teardown |
|           |              |              |              |              |              |              |              |
|           |              |              |              |25 25         |              |              |              |
